course_id,course_name,disciplina,credits,trimester
10043,Media Technologies,IT Risk Management,5,2
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10046,Media Technologies,Entrepreneurship,5,1
10043,Media Technologies,IT Risk Management,5,2
10040,Media Technologies,UX/UI Design,5,1
10036,Media Technologies,User Centered Design,5,2
10046,Media Technologies,Entrepreneurship,5,1
10043,Media Technologies,IT Risk Management,5,2
10040,Media Technologies,UX/UI Design,5,1
10036,Media Technologies,User Centered Design,5,2
10046,Media Technologies,Entrepreneurship,5,1
10045,Media Technologies,Technological Entrepreneurship,5,1
10043,Media Technologies,IT Risk Management,5,2
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10043,Media Technologies,IT Risk Management,5,2
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10046,Media Technologies,Entrepreneurship,5,1
10040,Media Technologies,UX/UI Design,5,1
10044,Media Technologies,Information Security Fundamentals,5,2
10036,Media Technologies,User Centered Design,5,2
10046,Media Technologies,Entrepreneurship,5,1
10043,Media Technologies,IT Risk Management,5,2
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10046,Media Technologies,Entrepreneurship,5,1
10045,Media Technologies,Technological Entrepreneurship,5,1
10037,Media Technologies,Creative non-fiction,5,2
10044,Media Technologies,Information Security Fundamentals,5,2
10041,Media Technologies,Software Architecture,5,1
10045,Media Technologies,Technological Entrepreneurship,5,1
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10044,Media Technologies,Information Security Fundamentals,5,2
10043,Media Technologies,IT Risk Management,5,2
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10046,Media Technologies,Entrepreneurship,5,1
10045,Media Technologies,Technological Entrepreneurship,5,1
10043,Media Technologies,IT Risk Management,5,2
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10043,Media Technologies,IT Risk Management,5,2
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10046,Media Technologies,Entrepreneurship,5,1
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10044,Media Technologies,Information Security Fundamentals,5,2
10046,Media Technologies,Entrepreneurship,5,1
10043,Media Technologies,IT Risk Management,5,2
10040,Media Technologies,UX/UI Design,5,1
10036,Media Technologies,User Centered Design,5,2
10046,Media Technologies,Entrepreneurship,5,1
10045,Media Technologies,Technological Entrepreneurship,5,1
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10044,Media Technologies,Information Security Fundamentals,5,2
10045,Media Technologies,Technological Entrepreneurship,5,1
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10044,Media Technologies,Information Security Fundamentals,5,2
10043,Media Technologies,IT Risk Management,5,2
10040,Media Technologies,UX/UI Design,5,1
10036,Media Technologies,User Centered Design,5,2
10046,Media Technologies,Entrepreneurship,5,1
10043,Media Technologies,IT Risk Management,5,2
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10046,Media Technologies,Entrepreneurship,5,1
10043,Media Technologies,IT Risk Management,5,2
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10046,Media Technologies,Entrepreneurship,5,1
10043,Media Technologies,IT Risk Management,5,2
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10046,Media Technologies,Entrepreneurship,5,1
10043,Media Technologies,IT Risk Management,5,2
10037,Media Technologies,Creative non-fiction,5,2
10040,Media Technologies,UX/UI Design,5,1
10046,Media Technologies,Entrepreneurship,5,1
10043,Media Technologies,IT Risk Management,5,2
10040,Media Technologies,UX/UI Design,5,1
10036,Media Technologies,User Centered Design,5,2
10046,Media Technologies,Entrepreneurship,5,1
10043,Media Technologies,IT Risk Management,5,2
