gruppa,course_number,op
BDA-2301,3,6B06103 Анализ больших данных
BDA-2302,3,6B06103 Анализ больших данных
BDA-2303,3,6B06103 Анализ больших данных
BDA-2304,3,6B06103 Анализ больших данных
BDA-2305,3,6B06103 Анализ больших данных
BDA-2306,3,6B06103 Анализ больших данных
CS-2301,3,6B06301 Кибербезопасность
CS-2302,3,6B06301 Кибербезопасность
CS-2303,3,6B06301 Кибербезопасность
CS-2304,3,6B06301 Кибербезопасность
CS-2305,3,6B06301 Кибербезопасность
CS-2306,3,6B06301 Кибербезопасность
CS-2307,3,6B06301 Кибербезопасность
CS-2308,3,6B06301 Кибербезопасность
CS-2309,3,6B06301 Кибербезопасность
CS-2310,3,6B06301 Кибербезопасность
CS-2311,3,6B06301 Кибербезопасность
CS-2312,3,6B06301 Кибербезопасность
CS-2313,3,6B06301 Кибербезопасность
CS-2314,3,6B06301 Кибербезопасность
CS-2315,3,6B06301 Кибербезопасность
CS-2316,3,6B06301 Кибербезопасность
DJ-2301,3,6B03201 Цифровая журналистика
ЕЕ-2301,3,6B07102 Electronic Engineering
EE-2302,3,6B07102 Electronic Engineering
IOT-2301,3,6B07101 Промышленный Интернет Вещей
IOT-2302,3,6B07101 Промышленный Интернет Вещей
IT-2301,3,6B06101 Компьютерные науки
IT-2302,3,6B06101 Компьютерные науки
IT-2303,3,6B06101 Компьютерные науки
IT-2304,3,6B06101 Компьютерные науки
IT-2305,3,6B06101 Компьютерные науки
IT-2306,3,6B06101 Компьютерные науки
IT-2307,3,6B06101 Компьютерные науки
IT-2308,3,6B06101 Компьютерные науки
ITE-2301,3,6B04102 IT предпринимательство
ITM-2301,3,6B04101 ИТ Менеджмент
ITM-2302,3,6B04101 ИТ Менеджмент
MCS-2301,3,6B06107 Математические и вычислительные науки
MT-2301,3,6B06105 Медиа технологии
МТ-2302,3,6B06105 Медиа технологии
MT-2303,3,6B06105 Медиа технологии
МТ-2304,3,6B06105 Медиа технологии
MT-2305,3,6B06105 Медиа технологии
MT-2306,3,6B06105 Медиа технологии
MT-2307,3,6B06105 Медиа технологии
SE-2301,3,6B06102 Программная инженерия
SE-2302,3,6B06102 Программная инженерия
SE-2303,3,6B06102 Программная инженерия
SE-2304,3,6B06102 Программная инженерия
SE-2305,3,6B06102 Программная инженерия
SE-2306,3,6B06102 Программная инженерия
SE-2307,3,6B06102 Программная инженерия
SE-2308,3,6B06102 Программная инженерия
SE-2309,3,6B06102 Программная инженерия
SE-2310,3,6B06102 Программная инженерия
SE-2311,3,6B06102 Программная инженерия
SE-2312,3,6B06102 Программная инженерия
SE-2313,3,6B06102 Программная инженерия
SE-2314,3,6B06102 Программная инженерия
SE-2315,3,6B06102 Программная инженерия
SE-2316,3,6B06102 Программная инженерия
SE-2317,3,6B06102 Программная инженерия
SE-2318,3,6B06102 Программная инженерия
SE-2319,3,6B06102 Программная инженерия
SE-2320,3,6B06102 Программная инженерия
SE-2321,3,6B06102 Программная инженерия
SE-2322,3,6B06102 Программная инженерия
SE-2323,3,6B06102 Программная инженерия
SE-2324,3,6B06102 Программная инженерия
SE-2325,3,6B06102 Программная инженерия
SE-2326,3,6B06102 Программная инженерия
SE-2327,3,6B06102 Программная инженерия
SE-2328,3,6B06102 Программная инженерия
SE-2329,3,6B06102 Программная инженерия
SE-2330,3,6B06102 Программная инженерия
SE-2331,3,6B06102 Программная инженерия
ST-2301,3,6B06202 Smart Технологии
ST-2302,3,6B06202 Smart Технологии
ST-2303,3,6B06202 Smart Технологии
ST-2304,3,6B06202 Smart Технологии
AIB-2401,2,6B04103 AI Business
AIB-2402,2,6B04103 AI Business
BDA-2401,2,6B06103 Анализ больших данных
BDA-2402,2,6B06103 Анализ больших данных
BDA-2403,2,6B06103 Анализ больших данных
BDA-2404,2,6B06103 Анализ больших данных
BDA-2405,2,6B06103 Анализ больших данных
BDA-2406,2,6B06103 Анализ больших данных
BDA-2407,2,6B06103 Анализ больших данных
BDA-2408,2,6B06103 Анализ больших данных
BDA-2409,2,6B06103 Анализ больших данных
CS-2401,2,6B06301 Кибербезопасность
CS-2402,2,6B06301 Кибербезопасность
CS-2403,2,6B06301 Кибербезопасность
CS-2404,2,6B06301 Кибербезопасность
CS-2405,2,6B06301 Кибербезопасность
CS-2406,2,6B06301 Кибербезопасность
CS-2407,2,6B06301 Кибербезопасность
CS-2408,2,6B06301 Кибербезопасность
CS-2409,2,6B06301 Кибербезопасность
CS-2410,2,6B06301 Кибербезопасность
CS-2411,2,6B06301 Кибербезопасность
CS-2412,2,6B06301 Кибербезопасность
CS-2413,2,6B06301 Кибербезопасность
CS-2414,2,6B06301 Кибербезопасность
CS-2415,2,6B06301 Кибербезопасность
CS-2416,2,6B06301 Кибербезопасность
CS-2417,2,6B06301 Кибербезопасность
CS-2418,2,6B06301 Кибербезопасность
CS-2419,2,6B06301 Кибербезопасность
CS-2420,2,6B06301 Кибербезопасность
CS-2421,2,6B06301 Кибербезопасность
CS-2422,2,6B06301 Кибербезопасность
CS-2423,2,6B06301 Кибербезопасность
CS-2424,2,6B06301 Кибербезопасность
CS-2425,2,6B06301 Кибербезопасность
CS-2426,2,6B06301 Кибербезопасность
CS-2427,2,6B06301 Кибербезопасность
CS-2428,2,6B06301 Кибербезопасность
CS-2429,2,6B06301 Кибербезопасность
CS-2430,2,6B06301 Кибербезопасность
CS-2431,2,6B06301 Кибербезопасность
CS-2432,2,6B06301 Кибербезопасность
CS-2433,2,6B06301 Кибербезопасность
CS-2434,2,6B06301 Кибербезопасность
CS-2435,2,6B06301 Кибербезопасность
CS-2436,2,6B06301 Кибербезопасность
CS-2437,2,6B06301 Кибербезопасность
CS-2438,2,6B06301 Кибербезопасность
CS-2439,2,6B06301 Кибербезопасность
CS-2440,2,6B06301 Кибербезопасность
DJ-2401,2,6B03201 Цифровая журналистика
DJ-2402,2,6B03201 Цифровая журналистика
EE-2401,2,6B07102 Electronic Engineering
EE-2402,2,6B07102 Electronic Engineering
EE-2403,2,6B07102 Electronic Engineering
EE-2404,2,6B07102 Electronic Engineering
EE-2405,2,6B07102 Electronic Engineering
EE-2406,2,6B07102 Electronic Engineering
EE-2407,2,6B07102 Electronic Engineering
EE- 2408,2,6B07102 Electronic Engineering
IOT-2401,2,6B07101 Промышленный Интернет Вещей
IOT-2402,2,6B07101 Промышленный Интернет Вещей
IT-2401,2,6B06101 Компьютерные науки
IT-2402,2,6B06101 Компьютерные науки
IT-2403,2,6B06101 Компьютерные науки
IT-2404,2,6B06101 Компьютерные науки
IT-2405,2,6B06101 Компьютерные науки
IT-2406,2,6B06101 Компьютерные науки
IT-2407,2,6B06101 Компьютерные науки
IT-2408,2,6B06101 Компьютерные науки
IT-2409,2,6B06101 Компьютерные науки
IT-2410,2,6B06101 Компьютерные науки
ITE-2401,2,6B04102 IT предпринимательство
ITM-2401,2,6B04101 ИТ Менеджмент
ITM-2402,2,6B04101 ИТ Менеджмент
MCS-2401,2,6B06107 Математические и вычислительные науки
MT-2401,2,6B06105 Медиа технологии
MT-2402,2,6B06105 Медиа технологии
MT-2403,2,6B06105 Медиа технологии
MT-2404,2,6B06105 Медиа технологии
MT-2405,2,6B06105 Медиа технологии
MT-2406,2,6B06105 Медиа технологии
SE-2401,2,6B06102 Программная инженерия
SE-2402,2,6B06102 Программная инженерия
SE-2403,2,6B06102 Программная инженерия
SE-2404,2,6B06102 Программная инженерия
SE-2405,2,6B06102 Программная инженерия
SE-2406,2,6B06102 Программная инженерия
SE-2407,2,6B06102 Программная инженерия
SE-2408,2,6B06102 Программная инженерия
SE-2409,2,6B06102 Программная инженерия
SE-2410,2,6B06102 Программная инженерия
SE-2411,2,6B06102 Программная инженерия
SE-2412,2,6B06102 Программная инженерия
SE-2413,2,6B06102 Программная инженерия
Se-2414,2,6B06102 Программная инженерия
SE-2415,2,6B06102 Программная инженерия
SE-2416,2,6B06102 Программная инженерия
SE-2417,2,6B06102 Программная инженерия
SE-2418,2,6B06102 Программная инженерия
SE-2419,2,6B06102 Программная инженерия
SE-2420,2,6B06102 Программная инженерия
SE-2421,2,6B06102 Программная инженерия
SE-2422,2,6B06102 Программная инженерия
SE-2423,2,6B06102 Программная инженерия
SE-2424,2,6B06102 Программная инженерия
SE-2425,2,6B06102 Программная инженерия
SE-2426,2,6B06102 Программная инженерия
SE-2427,2,6B06102 Программная инженерия
SE-2428,2,6B06102 Программная инженерия
SE-2429,2,6B06102 Программная инженерия
SE-2430,2,6B06102 Программная инженерия
SE-2431,2,6B06102 Программная инженерия
SE-2432,2,6B06102 Программная инженерия
SE-2433,2,6B06102 Программная инженерия
SE-2434,2,6B06102 Программная инженерия
SE-2435,2,6B06102 Программная инженерия
SE-2436,2,6B06102 Программная инженерия
SE-2437,2,6B06102 Программная инженерия
SE-2438,2,6B06102 Программная инженерия
SE-2439,2,6B06102 Программная инженерия
ST-2401,2,6B06202 Smart Технологии
ST-2402,2,6B06202 Smart Технологии
ST-2403,2,6B06202 Smart Технологии
ST-2404,2,6B06202 Smart Технологии
ST-2405,2,6B06202 Smart Технологии
ST-2406,2,6B06202 Smart Технологии
CS-2501,1,6B06301 Кибербезопасность
CS-2502,1,6B06301 Кибербезопасность
CS-2503,1,6B06301 Кибербезопасность
CS-2504,1,6B06301 Кибербезопасность
CS-2505,1,6B06301 Кибербезопасность
CS-2506,1,6B06301 Кибербезопасность
CS-2507,1,6B06301 Кибербезопасность
CS-2508,1,6B06301 Кибербезопасность
CS-2509,1,6B06301 Кибербезопасность
CS-2510,1,6B06301 Кибербезопасность
CS-2511,1,6B06301 Кибербезопасность
CS-2512,1,6B06301 Кибербезопасность
CS-2513,1,6B06301 Кибербезопасность
CS-2514,1,6B06301 Кибербезопасность
CS-2515,1,6B06301 Кибербезопасность
CS-2516,1,6B06301 Кибербезопасность
Cs-2517,1,6B06301 Кибербезопасность
CS-2518,1,6B06301 Кибербезопасность
CS-2519,1,6B06301 Кибербезопасность
CS-2520,1,6B06301 Кибербезопасность
CS-2521,1,6B06301 Кибербезопасность
CS-2522,1,6B06301 Кибербезопасность
CS-2523,1,6B06301 Кибербезопасность
CS-2524,1,6B06301 Кибербезопасность
CS-2525,1,6B06301 Кибербезопасность
CS-2526,1,6B06301 Кибербезопасность
CS-2527,1,6B06301 Кибербезопасность
CS-2528,1,6B06301 Кибербезопасность
CS-2529,1,6B06301 Кибербезопасность
CS-2530,1,6B06301 Кибербезопасность
CS-2531,1,6B06301 Кибербезопасность
CS-2532,1,6B06301 Кибербезопасность
CS-2533,1,6B06301 Кибербезопасность
CS-2534,1,6B06301 Кибербезопасность
CS-2535,1,6B06301 Кибербезопасность
SE-2501,1,6B06102 Программная инженерия
SE-2502,1,6B06102 Программная инженерия
SE-2503,1,6B06102 Программная инженерия
SE-2504,1,6B06102 Программная инженерия
SE-2505,1,6B06102 Программная инженерия
SE-2506,1,6B06102 Программная инженерия
SE-2507,1,6B06102 Программная инженерия
SE-2508,1,6B06102 Программная инженерия
SE-2509,1,6B06102 Программная инженерия
SE-2510,1,6B06102 Программная инженерия
SE-2511,1,6B06102 Программная инженерия
SE-2512,1,6B06102 Программная инженерия
SE-2513,1,6B06102 Программная инженерия
SE-2514,1,6B06102 Программная инженерия
SE-2515,1,6B06102 Программная инженерия
SE-2516,1,6B06102 Программная инженерия
SE-2517,1,6B06102 Программная инженерия
SE-2518,1,6B06102 Программная инженерия
SE-2519,1,6B06102 Программная инженерия
SE-2520,1,6B06102 Программная инженерия
SE-2521,1,6B06102 Программная инженерия
SE-2522,1,6B06102 Программная инженерия
SE-2523,1,6B06102 Программная инженерия
SE-2524,1,6B06102 Программная инженерия
SE-2525,1,6B06102 Программная инженерия
SE-2526,1,6B06102 Программная инженерия
SE-2527,1,6B06102 Программная инженерия
SE-2528,1,6B06102 Программная инженерия
SE-2529,1,6B06102 Программная инженерия
SE-2530,1,6B06102 Программная инженерия
SE-2531,1,6B06102 Программная инженерия
SE-2532,1,6B06102 Программная инженерия
SE-2533,1,6B06102 Программная инженерия
SE-2534,1,6B06102 Программная инженерия
SE-2535,1,6B06102 Программная инженерия
SE-2536,1,6B06102 Программная инженерия
SE-2537,1,6B06102 Программная инженерия
SE-2538,1,6B06102 Программная инженерия
SE-2539,1,6B06102 Программная инженерия
SE-2540,1,6B06102 Программная инженерия
SE-2541,1,6B06102 Программная инженерия
SE-2542,1,6B06102 Программная инженерия
SST-2501,1,6B06302 Безопасность Smart технологий
SST-2502,1,6B06302 Безопасность Smart технологий
IT-2501,1,6B06101 Компьютерные науки
IT-2502,1,6B06101 Компьютерные науки
IT-2503,1,6B06101 Компьютерные науки
IT-2504,1,6B06101 Компьютерные науки
IT-2505,1,6B06101 Компьютерные науки
IT-2506,1,6B06101 Компьютерные науки
IT-2507,1,6B06101 Компьютерные науки
IT-2508,1,6B06101 Компьютерные науки
IT-2509,1,6B06101 Компьютерные науки
IT-2510,1,6B06101 Компьютерные науки
IT-2511,1,6B06101 Компьютерные науки
IT-2512,1,6B06101 Компьютерные науки
IT-2513,1,6B06101 Компьютерные науки
IT-2514,1,6B06101 Компьютерные науки
IT-2515,1,6B06101 Компьютерные науки
IT-2516,1,6B06101 Компьютерные науки
MCS-2501,1,6B06107 Математические и вычислительные науки
MCS-2502,1,6B06107 Математические и вычислительные науки
MCS-2503,1,6B06107 Математические и вычислительные науки
BDA-2501,1,6B06103 Анализ больших данных
BDA-2502,1,6B06103 Анализ больших данных
BDA-2503,1,6B06103 Анализ больших данных
BDA-2504,1,6B06103 Анализ больших данных
BDA-2505,1,6B06103 Анализ больших данных
